,model,mae,rmse,r2,mae_avo,rmse_avo,r2_avo,mae_olive,rmse_olive,r2_olive,mae_grape,rmse_grape,r2_grape,mae_tr,rmse_tr,r2_tr,best_params
0,DDI_MLP.pkl,0.04940729666883839,0.0615590184719435,0.8770191802506082,0.05902826893105405,0.07295499397875707,0.8533677473171684,0.17854453980437862,0.216642008505665,-0.782497682920495,0.04710396616900379,0.058150779290660634,0.88618084101782,0.05232946531262376,0.06564152704019467,0.8718577608093703,"{'mlp__activation': 'relu', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate_init': 0.01}"
1,DDI_RF.pkl,0.044276424656241015,0.05656439434880126,0.9007608607625422,0.05704325951532207,0.07015306636876728,0.8644146482897763,0.1799269567919294,0.21944797426968143,-0.8289708324278997,0.04382909615086154,0.05547383163023745,0.8964188753826824,0.03589683277039174,0.04646868029685451,0.9357821686957052,"{'rf__max_depth': 10, 'rf__min_samples_split': 20, 'rf__n_estimators': 100}"
2,DDI_Ridge.pkl,0.0486960936126463,0.06133902149755403,0.8803920004894664,0.0627715266135267,0.0755524037596081,0.8427408125572077,0.17303231766581562,0.21018822710270849,-0.6778780830621416,0.046918504069324615,0.058164002413485474,0.8861290716053969,0.05163618080941152,0.06587560982581296,0.8709422008734171,"{'ridge__alpha': 0.1, 'ridge__fit_intercept': True, 'ridge__solver': 'svd'}"
3,DDI_SVR.pkl,0.04343128688203412,0.05473624754030925,0.9039021082731675,0.05461021884711725,0.06691968617289194,0.8766249771956796,0.17999453655111633,0.21848137611099566,-0.8128942532562051,0.04338548251531508,0.053646969089498786,0.9031288010466325,0.04546499756575125,0.05772926213911995,0.9008878332261581,"{'SVR__C': 1, 'SVR__epsilon': 0.05, 'SVR__gamma': 5, 'SVR__kernel': 'rbf'}"
4,DDI_XGB.pkl,0.04203521507513654,0.055070712794174415,0.9039969489680082,0.05649406961884068,0.06963173278332915,0.8664223311227558,0.1759465853501779,0.21490439520564802,-0.7540187140394574,0.04421893831217121,0.05614133996045362,0.8939111255215475,0.02571708237122216,0.03322326704759196,0.967173874046956,"{'xgb__colsample_bytree': 1.0, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 5, 'xgb__n_estimators': 1000, 'xgb__subsample': 0.6}"
5,DD_MLP.pkl,0.37299596049381356,0.49357338168601106,-0.10427484508486717,0.4069698565743749,0.5427642885966668,0.2243901260731267,0.5210983395152345,0.6570830497027739,-0.303924866850523,0.34043119258412363,0.44454855291151224,0.19479927184969337,0.38486746235322117,0.5035361994992036,0.4866786145046147,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate_init': 0.001}"
6,DD_RF.pkl,0.3602936496260321,0.4846033307417828,0.10841099650197439,0.42731664277817305,0.5645679908629699,0.16082352332157923,0.5005111922253176,0.6524962920430147,-0.28578435027974725,0.3435674153643955,0.4725340549481342,0.09022922160682045,0.13615005167282013,0.18269300783560544,0.9324272156520744,"{'rf__max_depth': 40, 'rf__min_samples_split': 2, 'rf__n_estimators': 500}"
7,DD_Ridge.pkl,0.41985053219551915,0.5446732221447351,-0.8650594294454725,0.445592039097397,0.6081041458407344,0.02640860415980739,0.5479973157243269,0.7001733587551514,-0.4805504258232207,0.37049500754344983,0.45036213440030276,0.1736015486837117,0.4369413397061942,0.5701359538284091,0.34191071302661735,"{'ridge__alpha': 0.001, 'ridge__fit_intercept': True, 'ridge__solver': 'lsqr'}"
8,DD_SVR.pkl,0.3583929777518142,0.47575594839570406,0.18492167588704367,0.41289160273087144,0.5530863760863152,0.19460909636975654,0.5452247601612162,0.7074691481299566,-0.5115657767887534,0.32514989414901213,0.42470461543198673,0.2650805886012312,0.3168506470405746,0.4522384209318889,0.5859403844972482,"{'SVR__C': 10, 'SVR__epsilon': 0.05, 'SVR__gamma': 10, 'SVR__kernel': 'rbf'}"
9,DD_XGB.pkl,0.3463683994692795,0.4578401456515893,0.19675225235834382,0.39223238088685564,0.5182978571698237,0.29273913933321705,0.5158258404288779,0.6720419651318474,-0.3639700229284395,0.34103352690147115,0.44570013099058936,0.1906222140313214,0.20221889464742948,0.2750362262007586,0.8468532576441952,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 10, 'xgb__n_estimators': 500, 'xgb__subsample': 0.2}"
10,FWBI_MLP.pkl,0.02892893585068612,0.037261670034660445,0.12410953424616189,0.04205364251011342,0.05041583043170592,0.12590137119981948,0.04098750901337439,0.05244497820418429,-2.901443914863384,0.019247660344020433,0.023381458378752912,0.5094650146741027,0.029681992903012024,0.038527206521338876,0.44725087704634736,"{'mlp__activation': 'tanh', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate_init': 0.01}"
11,FWBI_RF.pkl,0.023662083028043967,0.03247384000995329,0.43016113554506896,0.034389985486293816,0.04422168932625749,0.3274923219662108,0.04975844851080805,0.05783949749523376,-3.7453316654384716,0.016536438592092178,0.02194025187042442,0.5680733383147853,0.015990213745808026,0.022096937420984352,0.8181734946400192,"{'rf__max_depth': 10, 'rf__min_samples_split': 10, 'rf__n_estimators': 500}"
12,FWBI_Ridge.pkl,0.02679508564454558,0.034686243020745064,0.27922898787672024,0.039359193123206,0.04774205887601475,0.21615737459236828,0.0434930636736581,0.054179014262329475,-3.16370304358606,0.01761121466482775,0.022145534686384468,0.559952927796195,0.027314635696773486,0.03557416406975469,0.5287379937788541,"{'ridge__alpha': 0.01, 'ridge__fit_intercept': True, 'ridge__solver': 'auto'}"
13,FWBI_SVR.pkl,0.022542715251727383,0.03201193660237821,0.4635895260425247,0.033677539270932165,0.04384060221432388,0.33903325265037476,0.051058719606347336,0.05866317747440109,-3.8814485362736058,0.015288309431565738,0.02067659427704111,0.6163945162929388,0.021859232345315806,0.032175980995921546,0.6144713888226168,"{'SVR__C': 1, 'SVR__epsilon': 0.01, 'SVR__gamma': 10, 'SVR__kernel': 'rbf'}"
14,FWBI_XGB.pkl,0.01420338460014341,0.022074349905531525,0.7692066113637862,0.025671660963823537,0.03455070696573295,0.5894741914809707,0.052424566017031424,0.06129998351910785,-4.33013569047141,0.009570307993416688,0.012908559663932194,0.8504858253501705,0.0047342646848139835,0.00679292747367654,0.9828166840379317,"{'xgb__colsample_bytree': 1.0, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 10, 'xgb__n_estimators': 500, 'xgb__subsample': 0.6}"
15,LIC2_MLP.pkl,0.06102360583111497,0.08055859302300056,5.570876377647416e-06,0.07660704528203738,0.09655225109020033,0.31819216053845056,0.11842407042341585,0.1408172066778689,-1.2590545357266616,0.0339673384540872,0.0444877450271337,0.5502821134350246,0.05957035861414566,0.08018092531938306,0.4748821207061771,"{'mlp__activation': 'tanh', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate_init': 0.01}"
16,LIC2_RF.pkl,0.05279921163787344,0.07207420160280013,0.3669595166847197,0.06761498503422932,0.08232002920551246,0.5043806945595413,0.13633973903891594,0.15938906888092197,-1.8942252767524854,0.02774542036027006,0.038234011521471725,0.6678309928312647,0.03597130111343785,0.051047112403312486,0.787158143570279,"{'rf__max_depth': 20, 'rf__min_samples_split': 20, 'rf__n_estimators': 500}"
17,LIC2_Ridge.pkl,0.06235556069384483,0.08091271459498499,0.04875069571495738,0.07774232437786341,0.09628112359743639,0.32201594093841246,0.12309609167680328,0.14353298323169822,-1.3470302541840296,0.03582290971731626,0.044544437505879324,0.5491351968293152,0.060444065862405694,0.08063476789441665,0.46892071965874216,"{'ridge__alpha': 0.1, 'ridge__fit_intercept': True, 'ridge__solver': 'svd'}"
18,LIC2_SVR.pkl,0.052928289695824575,0.07128388001003336,0.41051731131037594,0.067649163460564,0.08423369841522729,0.48106982847917235,0.1429524474314907,0.16608189232396833,-2.1423881906486892,0.027612889659417255,0.03604794789168921,0.704729222089173,0.04598325751376079,0.06436228496975506,0.6616411147328395,"{'SVR__C': 1, 'SVR__epsilon': 0.05, 'SVR__gamma': 5, 'SVR__kernel': 'rbf'}"
19,LIC2_XGB.pkl,0.05031674911958567,0.06961733437970695,0.4009332923474559,0.06332301367786826,0.07986976851889975,0.5334458739157437,0.13872305999585724,0.1610092749649763,-1.953364523161552,0.02692769889565759,0.037835851827973783,0.6747132247672241,0.029327216715242535,0.04165057150851405,0.8583043206851872,"{'xgb__colsample_bytree': 1.0, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 10, 'xgb__n_estimators': 500, 'xgb__subsample': 0.2}"
20,LWI_MLP.pkl,0.2782624857625783,0.39642110028878885,0.8663764571580272,0.3065558235649604,0.4461420413299607,0.8584287357688802,1.0911819861843834,1.3525310923813112,-0.6177363173781445,0.2992685430451614,0.3819714552686076,0.888590840379429,0.3099421949793908,0.44639023622087515,0.8598967038957154,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate_init': 0.01}"
21,LWI_RF.pkl,0.28326515431338023,0.40819818670186303,0.8745701119489441,0.3237628609898832,0.47377890677170786,0.8403458348449833,1.1025008443667075,1.395814982907545,-0.722935152011003,0.31501967440022255,0.41355549938066216,0.8694049606988664,0.20596818571732348,0.28745078710948513,0.9419040331906119,"{'rf__max_depth': None, 'rf__min_samples_split': 15, 'rf__n_estimators': 200}"
22,LWI_Ridge.pkl,0.35332905361672234,0.4665804277557016,0.8267402780693756,0.37634224897782714,0.5151651093952814,0.8112349037101949,1.1034187614107727,1.324145273114872,-0.5505454082104555,0.34551263990751147,0.42345805293686023,0.8630759071610008,0.3777273455747469,0.5022157973977367,0.8226628526650895,"{'ridge__alpha': 0.01, 'ridge__fit_intercept': True, 'ridge__solver': 'saga'}"
23,LWI_SVR.pkl,0.2597757116502906,0.3739483702746155,0.891153496715762,0.2769745034408805,0.39202580453340186,0.890690446650757,1.104414372401046,1.3829654431543201,-0.6913593039614978,0.27648497104703074,0.37698344700177605,0.8914815350036263,0.2542808251742454,0.3728413482918972,0.902261173868125,"{'SVR__C': 10, 'SVR__epsilon': 0.05, 'SVR__gamma': 10, 'SVR__kernel': 'rbf'}"
24,LWI_XGB.pkl,0.26909877523111964,0.38724008185674713,0.880682710551437,0.3057242168159613,0.4478707619405241,0.857329483530856,1.0931270773568904,1.3646711673795662,-0.6469076693227627,0.2942060760233341,0.38756281285738065,0.8853053188922514,0.2415790466884093,0.33338905265076474,0.9218513195934811,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 5, 'xgb__n_estimators': 500, 'xgb__subsample': 0.2}"
25,MAX_MLP.pkl,0.022852636540133985,0.031213154522998592,0.8550307206664997,0.02624635217953409,0.035602231991064916,0.8367471317870118,0.08165160866262648,0.1046738149474215,-0.4606818098394623,0.018954567878950217,0.02548880248730687,0.8935565042774202,0.02275279264421189,0.03081478394337595,0.8695437117795597,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate_init': 0.01}"
26,MAX_RF.pkl,0.022484515125984456,0.031064955189844916,0.8593049179591862,0.026544721787032415,0.03608707266554968,0.8322704133190881,0.07965213553364513,0.10295778942793607,-0.4131814699492604,0.01965365315983516,0.02640650860006136,0.8857536767203246,0.016511047238687966,0.02230590661829022,0.9316424446041662,"{'rf__max_depth': 20, 'rf__min_samples_split': 20, 'rf__n_estimators': 200}"
27,MAX_Ridge.pkl,0.023774599639148047,0.0314673165732405,0.8498642506689913,0.02513501566118318,0.03378911541969398,0.8529516982472838,0.08160635241491955,0.10361050655551102,-0.43115644065480274,0.020600232744812277,0.02777159113758778,0.873636458077729,0.023653678602957928,0.0318137041537871,0.8609486403313883,"{'ridge__alpha': 0.1, 'ridge__fit_intercept': True, 'ridge__solver': 'svd'}"
28,MAX_SVR.pkl,0.021608283669401294,0.030199120747835807,0.8617161687575833,0.025426070311120222,0.03595692978940808,0.8334780174814733,0.08053101843381495,0.10345936359259852,-0.426984055820667,0.018959953603036008,0.025520499985631266,0.8932915965437102,0.01978150599124928,0.027742658637343952,0.8942591201456711,"{'SVR__C': 0.1, 'SVR__epsilon': 0.01, 'SVR__gamma': 10, 'SVR__kernel': 'rbf'}"
29,MAX_XGB.pkl,0.02126477073249772,0.029017567055240143,0.8737729759239983,0.02572173956317722,0.034504852450217297,0.8466560246799502,0.08117998239679156,0.10383209981525132,-0.43728465605675204,0.018909798928788888,0.024952041794278505,0.8979924203126596,0.016729252660325888,0.02240255816196492,0.9310487743139761,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 5, 'xgb__n_estimators': 500, 'xgb__subsample': 0.2}"
30,MSI1_MLP.pkl,0.029383239013304977,0.03746554058102996,0.8069536174421265,0.03536709437400572,0.04450986910728915,0.7614382158484088,0.09892480986107226,0.11827344430217397,-0.7213255322506062,0.03222848805244524,0.03968951702128531,0.6989433031645822,0.030887481599788328,0.03947164101483246,0.8147489030516082,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate_init': 0.01}"
31,MSI1_RF.pkl,0.027332739087611524,0.03526324337734102,0.8249699315214709,0.03470964845026574,0.04224093471766338,0.7851401444268195,0.09662972484239579,0.11779306935698798,-0.7073713864582591,0.02806932892406741,0.036177670994295655,0.7498630362080281,0.019691804019658803,0.02506615297886669,0.9252922261819071,"{'rf__max_depth': 30, 'rf__min_samples_split': 15, 'rf__n_estimators': 200}"
32,MSI1_Ridge.pkl,0.03133778120566203,0.03894301532835164,0.7880173021062276,0.035407432572498045,0.04432622591773613,0.7634027180819161,0.09595371163904787,0.11520139515094316,-0.6330669864721967,0.03473825304956815,0.04159291693502376,0.6693752037778529,0.032078415240835455,0.040804809507041045,0.8020237320744971,"{'ridge__alpha': 0.001, 'ridge__fit_intercept': True, 'ridge__solver': 'saga'}"
33,MSI1_SVR.pkl,0.02665686285827589,0.034819365078668695,0.8358973151601815,0.0348070151903867,0.04240169910196639,0.7835015659338596,0.09649641538057896,0.11782909296930297,-0.7084158467157093,0.026299277470296763,0.035472002324032165,0.7595260303263046,0.02476487274631618,0.03239489282258406,0.8752204202990927,"{'SVR__C': 1, 'SVR__epsilon': 0.01, 'SVR__gamma': 5, 'SVR__kernel': 'rbf'}"
34,MSI1_XGB.pkl,0.0263294734390896,0.0337767519678639,0.8403431158126083,0.03203482466831507,0.04011482435380631,0.8062248731998147,0.09800946836172235,0.11979841195868769,-0.7659997763555857,0.02799245854711949,0.035181525685593434,0.7634483386267323,0.0219225486641212,0.027932267089075525,0.9072310169465198,"{'xgb__colsample_bytree': 1.0, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 5, 'xgb__n_estimators': 500, 'xgb__subsample': 0.2}"
35,MSI2_MLP.pkl,0.029383239013304977,0.03746554058102996,0.8069536174421265,0.03536709437400572,0.04450986910728915,0.7614382158484088,0.09892480986107226,0.11827344430217397,-0.7213255322506062,0.03222848805244524,0.03968951702128531,0.6989433031645822,0.030887481599788328,0.03947164101483246,0.8147489030516082,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate_init': 0.01}"
36,MSI2_RF.pkl,0.02717012252544928,0.035135263908546883,0.8276172933822971,0.034371047013226554,0.04175999697129986,0.7900049020452431,0.09667752675115868,0.11768200303477695,-0.704153165548677,0.027979288360038372,0.036272141917454086,0.7485549628757702,0.01909056789125003,0.024197643426504472,0.9303795912045956,"{'rf__max_depth': 10, 'rf__min_samples_split': 10, 'rf__n_estimators': 1000}"
37,MSI2_Ridge.pkl,0.03133778120566203,0.03894301532835164,0.7880173021062276,0.035407432572498045,0.04432622591773613,0.7634027180819161,0.09595371163904787,0.11520139515094316,-0.6330669864721967,0.03473825304956815,0.04159291693502376,0.6693752037778529,0.032078415240835455,0.040804809507041045,0.8020237320744971,"{'ridge__alpha': 0.001, 'ridge__fit_intercept': True, 'ridge__solver': 'saga'}"
38,MSI2_SVR.pkl,0.02665686285827589,0.034819365078668695,0.8358973151601815,0.0348070151903867,0.04240169910196639,0.7835015659338596,0.09649641538057896,0.11782909296930297,-0.7084158467157093,0.026299277470296763,0.035472002324032165,0.7595260303263046,0.02476487274631618,0.03239489282258406,0.8752204202990927,"{'SVR__C': 1, 'SVR__epsilon': 0.01, 'SVR__gamma': 5, 'SVR__kernel': 'rbf'}"
