,Unnamed: 0,model,mae,rmse,r2,mae_avo,rmse_avo,r2_avo,mae_olive,rmse_olive,r2_olive,mae_grape,rmse_grape,r2_grape,mae_tr,rmse_tr,r2_tr,best_params
65,65,DDI_MLP,0.0494072966688383,0.0615590184719435,0.8770191802506082,0.059028268931054,0.072954993978757,0.8533677473171684,0.0421113844394746,0.0516569747486621,0.8986551780339169,0.0471039661690037,0.0581507792906606,0.88618084101782,0.0523294653126237,0.0656415270401946,0.8718577608093703,"{'mlp__activation': 'relu', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate_init': 0.01}"
40,40,DDI_RF,0.044276424656241,0.0565643943488012,0.9007608607625422,0.057043259515322,0.0701530663687672,0.8644146482897763,0.0319611383827788,0.0400118244200968,0.9391976540731274,0.0438290961508615,0.0554738316302374,0.8964188753826824,0.0358968327703917,0.0464686802968545,0.9357821686957052,"{'rf__max_depth': 10, 'rf__min_samples_split': 20, 'rf__n_estimators': 100}"
115,115,DDI_Ridge,0.0486960936126463,0.061339021497554,0.8803920004894664,0.0627715266135267,0.0755524037596081,0.8427408125572077,0.0364150198677604,0.0469019110433548,0.9164541841397276,0.0469185040693246,0.0581640024134854,0.8861290716053969,0.0516361808094115,0.0658756098258129,0.8709422008734171,"{'ridge__alpha': 0.1, 'ridge__fit_intercept': True, 'ridge__solver': 'svd'}"
15,15,DDI_SVR,0.0434312868820341,0.0547362475403092,0.9039021082731676,0.0546102188471172,0.0669196861728919,0.8766249771956796,0.0322985914003371,0.0404109200996922,0.937978665755908,0.043385482515315,0.0536469690894987,0.9031288010466324,0.0454649975657512,0.0577292621391199,0.900887833226158,"{'SVR__C': 1, 'SVR__epsilon': 0.05, 'SVR__gamma': 5, 'SVR__kernel': 'rbf'}"
90,90,DDI_XGB,0.0420352150751365,0.0550707127941744,0.9039969489680082,0.0564940696188406,0.0696317327833291,0.8664223311227558,0.0253720361317841,0.0331179511711742,0.9583446728020288,0.0442189383121712,0.0561413399604536,0.8939111255215475,0.0257170823712221,0.0332232670475919,0.967173874046956,"{'xgb__colsample_bytree': 1.0, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 5, 'xgb__n_estimators': 1000, 'xgb__subsample': 0.6}"
74,74,DD_MLP,0.3729959604938135,0.493573381686011,-0.1042748450848669,0.4069698565743749,0.5427642885966668,0.2243901260731267,0.3718940471145431,0.4889390967540836,0.2780259778307125,0.3404311925841236,0.4445485529115121,0.1947992718496937,0.3848674623532211,0.5035361994992036,0.4866786145046147,"{'mlp__activation': 'relu', 'mlp__alpha': 0.001, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate_init': 0.001}"
49,49,DD_RF,0.3602936496260321,0.4846033307417828,0.1084109965019743,0.427316642778173,0.5645679908629699,0.1608235233215792,0.3101546853983734,0.4032427256797289,0.5089280559181386,0.3435674153643955,0.4725340549481342,0.0902292216068204,0.1361500516728201,0.1826930078356054,0.9324272156520744,"{'rf__max_depth': 40, 'rf__min_samples_split': 2, 'rf__n_estimators': 500}"
124,124,DD_Ridge,0.4198505321955191,0.5446732221447351,-0.8650594294454721,0.445592039097397,0.6081041458407344,0.0264086041598073,0.4439301681028057,0.564158986934213,0.0387971254264406,0.3704950075434498,0.4503621344003027,0.1736015486837115,0.4369413397061942,0.5701359538284091,0.3419107130266173,"{'ridge__alpha': 0.001, 'ridge__fit_intercept': True, 'ridge__solver': 'lsqr'}"
24,24,DD_SVR,0.3583929777518148,0.4757559483957047,0.1849216758870386,0.4128916027308718,0.5530863760863165,0.1946090963697526,0.3374510503718134,0.4395296281811677,0.4165705454325196,0.3251498941490122,0.4247046154319862,0.2650805886012327,0.3168506470405747,0.4522384209318889,0.585940384497248,"{'SVR__C': 10, 'SVR__epsilon': 0.05, 'SVR__gamma': 10, 'SVR__kernel': 'rbf'}"
99,99,DD_XGB,0.3463683994692795,0.4578401456515893,0.1967522523583438,0.3922323808868556,0.5182978571698237,0.292739139333217,0.3058896196060004,0.4020883018162626,0.5117357628020691,0.3410335269014711,0.4457001309905893,0.1906222140313214,0.2022188946474294,0.2750362262007586,0.8468532576441952,"{'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 10, 'xgb__n_estimators': 500, 'xgb__subsample': 0.2}"
56,56,FWBI_MLP,0.0289289358506861,0.0372616700346604,0.1241095342461618,0.0420536425101134,0.0504158304317059,0.1259013711998194,0.0255768374857232,0.0329361282721801,-0.5387307767286162,0.0192476603440204,0.0233814583787529,0.5094650146741027,0.029681992903012,0.0385272065213388,0.4472508770463473,"{'mlp__activation': 'tanh', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate_init': 0.01}"
31,31,FWBI_RF,0.0236620830280439,0.0324738400099532,0.4301611355450689,0.0343899854862938,0.0442216893262574,0.3274923219662108,0.0201270480664624,0.0270578216651213,-0.0384921301383764,0.0165364385920921,0.0219402518704244,0.5680733383147853,0.015990213745808,0.0220969374209843,0.8181734946400192,"{'rf__max_depth': 10, 'rf__min_samples_split': 10, 'rf__n_estimators': 500}"
106,106,FWBI_Ridge,0.0267950856445455,0.034686243020745,0.2792289878767202,0.039359193123206,0.0477420588760147,0.2161573745923682,0.0235014894378644,0.0290929743876595,-0.2005874487812271,0.0176112146648277,0.0221455346863844,0.559952927796195,0.0273146356967734,0.0355741640697546,0.5287379937788541,"{'ridge__alpha': 0.01, 'ridge__fit_intercept': True, 'ridge__solver': 'auto'}"
6,6,FWBI_SVR,0.0225427152517273,0.0320119366023782,0.4635895260425247,0.0336775392709321,0.0438406022143238,0.3390332526503747,0.0187307348434404,0.0270260368019747,-0.0360537266943439,0.0152883094315657,0.0206765942770411,0.6163945162929388,0.0218592323453158,0.0321759809959215,0.6144713888226168,"{'SVR__C': 1, 'SVR__epsilon': 0.01, 'SVR__gamma': 10, 'SVR__kernel': 'rbf'}"
